participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.Belief,player.Age,player.Gender,player.Education,player.Family,player.Kids,player.Income,player.ZIP,player.Comprehension,player.Usage,player.Temp,player.Accuracy,player.Credibility,player.CLICCS1,player.CLICCS2,player.openText,player.Risk_General,player.Risk_Weather,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,h08ze7ox,,1,22,21,Outro,Results,2021-04-05 19:58:11.014485+00:00,1,,,0.00,1,33,38,not specified,3,widowed,0,1,20149,yes,3,22,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,10,1,0.00,1,1,0kihcn1h,,,,,0
2,brhitvig,,1,22,21,Outro,Results,2021-04-05 19:58:11.068359+00:00,1,,,0.00,2,29,37,not specified,1,widowed,0,5,20149,yes,3,32,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,4,8,0.00,1,1,0kihcn1h,,,,,0
3,thqpfjil,,1,22,21,Outro,Results,2021-04-05 19:58:11.094195+00:00,1,,,10.00,3,20,10,not specified,3,widowed,3,2,20149,yes,3,32,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,4,9,0.00,1,1,0kihcn1h,,,,,0
4,t5i8zz75,,1,22,21,Outro,Results,2021-04-05 19:58:11.119643+00:00,1,,,10.00,4,14,15,not specified,2,widowed,3,5,20149,yes,1,9,1,2,lorem ipsum 1,lorem ipsum 2,hello world!,0,1,0.00,1,1,0kihcn1h,,,,,0
5,i5l5kll2,,1,22,21,Outro,Results,2021-04-05 19:58:11.143414+00:00,1,,,0.00,5,26,45,not specified,2,widowed,3,2,20149,yes,3,33,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,0,0.00,1,1,0kihcn1h,,,,,0
6,kazmpuan,,1,22,21,Outro,Results,2021-04-05 19:58:11.167724+00:00,1,,,10.00,6,1,25,not specified,5,widowed,1,1,20149,yes,0,27,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,0,8,0.00,1,1,0kihcn1h,,,,,0
7,jpbx9u9y,,1,22,21,Outro,Results,2021-04-05 19:58:11.191943+00:00,1,,,0.00,7,31,40,not specified,5,widowed,1,3,20149,yes,4,13,3,1,lorem ipsum 1,lorem ipsum 2,hello world!,9,10,0.00,1,1,0kihcn1h,,,,,0
8,af93jvlz,,1,22,21,Outro,Results,2021-04-05 19:58:11.218996+00:00,1,,,10.00,8,1,26,not specified,3,widowed,0,4,20149,yes,1,18,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,3,0.00,1,1,0kihcn1h,,,,,0
9,mlzj3smn,,1,22,21,Outro,Results,2021-04-05 19:58:11.242138+00:00,1,,,10.00,9,3,21,not specified,6,widowed,1,5,20149,yes,2,4,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,6,8,0.00,1,1,0kihcn1h,,,,,0
10,krvbilrz,,1,22,21,Outro,Results,2021-04-05 19:58:11.266795+00:00,1,,,0.00,10,29,39,not specified,6,widowed,3,3,20149,yes,5,33,0,3,lorem ipsum 1,lorem ipsum 2,hello world!,1,5,0.00,1,1,0kihcn1h,,,,,0
11,prpilzbe,,1,22,21,Outro,Results,2021-04-05 19:58:11.289944+00:00,1,,,10.00,11,8,23,not specified,4,widowed,3,5,20149,yes,0,5,1,2,lorem ipsum 1,lorem ipsum 2,hello world!,1,1,0.00,1,1,0kihcn1h,,,,,0
12,66fcypyi,,1,22,21,Outro,Results,2021-04-05 19:58:11.314539+00:00,1,,,0.00,12,14,50,not specified,4,widowed,4,3,20149,yes,5,7,2,1,lorem ipsum 1,lorem ipsum 2,hello world!,6,9,0.00,1,1,0kihcn1h,,,,,0
13,mt2zhjut,,1,22,21,Outro,Results,2021-04-05 19:58:11.391271+00:00,1,,,0.00,13,26,15,not specified,7,widowed,4,5,20149,yes,4,22,2,0,lorem ipsum 1,lorem ipsum 2,hello world!,10,6,0.00,1,1,0kihcn1h,,,,,0
14,sf3u2ovr,,1,22,21,Outro,Results,2021-04-05 19:58:11.414185+00:00,1,,,0.00,14,34,55,not specified,2,widowed,2,4,20149,yes,5,17,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,0,10,0.00,1,1,0kihcn1h,,,,,0
15,k81c0pz3,,1,22,21,Outro,Results,2021-04-05 19:58:11.438321+00:00,1,,,0.00,15,15,64,not specified,0,widowed,3,4,20149,yes,1,17,0,0,lorem ipsum 1,lorem ipsum 2,hello world!,1,1,0.00,1,1,0kihcn1h,,,,,0
16,2a5tyc2v,,1,22,21,Outro,Results,2021-04-05 19:58:11.460931+00:00,1,,,10.00,16,15,26,not specified,2,widowed,1,2,20149,yes,4,19,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,1,7,0.00,1,1,0kihcn1h,,,,,0
17,0w7fxwvp,,1,22,21,Outro,Results,2021-04-05 19:58:11.483954+00:00,1,,,10.00,17,25,44,not specified,0,widowed,3,2,20149,yes,2,6,2,2,lorem ipsum 1,lorem ipsum 2,hello world!,9,10,0.00,1,1,0kihcn1h,,,,,0
18,pdiwzp8o,,1,22,21,Outro,Results,2021-04-05 19:58:11.506406+00:00,1,,,10.00,18,2,36,not specified,3,widowed,4,0,20149,yes,4,5,3,4,lorem ipsum 1,lorem ipsum 2,hello world!,8,5,0.00,1,1,0kihcn1h,,,,,0
19,fea4erj3,,1,22,21,Outro,Results,2021-04-05 19:58:11.528849+00:00,1,,,0.00,19,17,16,not specified,6,widowed,4,5,20149,yes,1,3,0,0,lorem ipsum 1,lorem ipsum 2,hello world!,0,7,0.00,1,1,0kihcn1h,,,,,0
20,z0kf1wov,,1,22,21,Outro,Results,2021-04-05 19:58:11.551132+00:00,1,,,10.00,20,21,29,not specified,3,widowed,3,5,20149,yes,4,11,1,4,lorem ipsum 1,lorem ipsum 2,hello world!,7,8,0.00,1,1,0kihcn1h,,,,,0
21,29zorgu1,,1,22,21,Outro,Results,2021-04-05 19:58:11.574001+00:00,1,,,0.00,21,26,20,not specified,1,widowed,2,0,20149,yes,4,0,4,4,lorem ipsum 1,lorem ipsum 2,hello world!,6,5,0.00,1,1,0kihcn1h,,,,,0
22,huy3olr5,,1,22,21,Outro,Results,2021-04-05 19:58:11.597750+00:00,1,,,10.00,22,14,56,not specified,5,widowed,0,0,20149,yes,0,22,4,2,lorem ipsum 1,lorem ipsum 2,hello world!,1,1,0.00,1,1,0kihcn1h,,,,,0
23,xzakq199,,1,22,21,Outro,Results,2021-04-05 19:58:11.619890+00:00,1,,,10.00,23,6,4,not specified,0,widowed,3,0,20149,yes,0,15,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,3,3,0.00,1,1,0kihcn1h,,,,,0
24,b3hcdcbm,,1,22,21,Outro,Results,2021-04-05 19:58:11.643248+00:00,1,,,10.00,24,28,15,not specified,0,widowed,2,5,20149,yes,1,23,1,0,lorem ipsum 1,lorem ipsum 2,hello world!,3,4,0.00,1,1,0kihcn1h,,,,,0
25,vti4c487,,1,22,21,Outro,Results,2021-04-05 19:58:11.665714+00:00,1,,,0.00,25,35,40,not specified,2,widowed,4,2,20149,yes,5,19,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,4,5,0.00,1,1,0kihcn1h,,,,,0
26,57vc3log,,1,22,21,Outro,Results,2021-04-05 19:58:11.688882+00:00,1,,,0.00,26,2,22,not specified,2,widowed,4,1,20149,yes,4,31,3,2,lorem ipsum 1,lorem ipsum 2,hello world!,3,0,0.00,1,1,0kihcn1h,,,,,0
27,0kl4nog7,,1,22,21,Outro,Results,2021-04-05 19:58:11.711319+00:00,1,,,10.00,27,2,10,not specified,6,widowed,3,5,20149,yes,0,22,1,4,lorem ipsum 1,lorem ipsum 2,hello world!,0,9,0.00,1,1,0kihcn1h,,,,,0
28,tf3x02jg,,1,22,21,Outro,Results,2021-04-05 19:58:11.734083+00:00,1,,,10.00,28,35,16,not specified,1,widowed,3,1,20149,yes,1,11,0,3,lorem ipsum 1,lorem ipsum 2,hello world!,9,7,0.00,1,1,0kihcn1h,,,,,0
29,487wgjum,,1,22,21,Outro,Results,2021-04-05 19:58:11.756412+00:00,1,,,10.00,29,20,37,not specified,7,widowed,3,1,20149,yes,3,13,3,4,lorem ipsum 1,lorem ipsum 2,hello world!,3,6,0.00,1,1,0kihcn1h,,,,,0
30,egkzwwb7,,1,22,21,Outro,Results,2021-04-05 19:58:11.779432+00:00,1,,,10.00,30,25,39,not specified,3,widowed,3,1,20149,yes,2,10,4,0,lorem ipsum 1,lorem ipsum 2,hello world!,5,8,0.00,1,1,0kihcn1h,,,,,0
31,hp0066y5,,1,22,21,Outro,Results,2021-04-05 19:58:11.801193+00:00,1,,,0.00,31,24,50,not specified,7,widowed,0,1,20149,yes,4,33,4,2,lorem ipsum 1,lorem ipsum 2,hello world!,1,1,0.00,1,1,0kihcn1h,,,,,0
32,rzrine42,,1,22,21,Outro,Results,2021-04-05 19:58:11.824735+00:00,1,,,10.00,32,5,11,not specified,4,widowed,0,0,20149,yes,5,2,1,4,lorem ipsum 1,lorem ipsum 2,hello world!,0,10,0.00,1,1,0kihcn1h,,,,,0
33,g9vcrz6k,,1,22,21,Outro,Results,2021-04-05 19:58:11.847645+00:00,1,,,10.00,33,3,21,not specified,2,widowed,1,0,20149,yes,5,3,1,0,lorem ipsum 1,lorem ipsum 2,hello world!,2,2,0.00,1,1,0kihcn1h,,,,,0
34,1di75fzi,,1,22,21,Outro,Results,2021-04-05 19:58:11.870152+00:00,1,,,10.00,34,5,53,not specified,2,widowed,0,4,20149,yes,1,20,0,1,lorem ipsum 1,lorem ipsum 2,hello world!,0,7,0.00,1,1,0kihcn1h,,,,,0
35,bqrm3nek,,1,22,21,Outro,Results,2021-04-05 19:58:11.894118+00:00,1,,,10.00,35,14,47,not specified,5,widowed,2,2,20149,yes,2,23,0,4,lorem ipsum 1,lorem ipsum 2,hello world!,6,2,0.00,1,1,0kihcn1h,,,,,0
36,ut9j4zy0,,1,22,21,Outro,Results,2021-04-05 19:58:11.915934+00:00,1,,,10.00,36,31,65,not specified,4,widowed,0,1,20149,yes,5,3,0,2,lorem ipsum 1,lorem ipsum 2,hello world!,10,3,0.00,1,1,0kihcn1h,,,,,0
37,ae35774r,,1,22,21,Outro,Results,2021-04-05 19:58:11.938096+00:00,1,,,10.00,37,21,20,not specified,4,widowed,1,2,20149,yes,5,33,0,3,lorem ipsum 1,lorem ipsum 2,hello world!,2,8,0.00,1,1,0kihcn1h,,,,,0
38,fmj6a90v,,1,22,21,Outro,Results,2021-04-05 19:58:11.960469+00:00,1,,,0.00,38,9,64,not specified,7,widowed,2,1,20149,yes,0,27,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,7,4,0.00,1,1,0kihcn1h,,,,,0
39,dibl7fa4,,1,22,21,Outro,Results,2021-04-05 19:58:11.983194+00:00,1,,,10.00,39,16,17,not specified,7,widowed,1,1,20149,yes,2,5,1,1,lorem ipsum 1,lorem ipsum 2,hello world!,6,3,0.00,1,1,0kihcn1h,,,,,0
40,7tzfj99x,,1,22,21,Outro,Results,2021-04-05 19:58:12.006722+00:00,1,,,10.00,40,27,48,not specified,7,widowed,3,2,20149,yes,0,3,2,1,lorem ipsum 1,lorem ipsum 2,hello world!,5,3,0.00,1,1,0kihcn1h,,,,,0
41,6fhwm3td,,1,22,21,Outro,Results,2021-04-05 19:58:12.028923+00:00,1,,,10.00,41,26,15,not specified,4,widowed,0,5,20149,yes,3,15,3,0,lorem ipsum 1,lorem ipsum 2,hello world!,2,5,0.00,1,1,0kihcn1h,,,,,0
42,iabxc8n7,,1,22,21,Outro,Results,2021-04-05 19:58:12.050871+00:00,1,,,0.00,42,16,17,not specified,4,widowed,0,5,20149,yes,1,2,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,9,0,0.00,1,1,0kihcn1h,,,,,0
43,p7nm9em7,,1,22,21,Outro,Results,2021-04-05 19:58:12.072955+00:00,1,,,0.00,43,10,46,not specified,8,widowed,3,0,20149,yes,2,33,4,4,lorem ipsum 1,lorem ipsum 2,hello world!,4,2,0.00,1,1,0kihcn1h,,,,,0
44,1i5zis7m,,1,22,21,Outro,Results,2021-04-05 19:58:12.095584+00:00,1,,,10.00,44,18,44,not specified,5,widowed,4,0,20149,yes,0,13,4,3,lorem ipsum 1,lorem ipsum 2,hello world!,7,5,0.00,1,1,0kihcn1h,,,,,0
45,w6514gpm,,1,22,21,Outro,Results,2021-04-05 19:58:12.117786+00:00,1,,,0.00,45,12,53,not specified,8,widowed,4,4,20149,yes,2,9,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,2,5,0.00,1,1,0kihcn1h,,,,,0
46,web5hdo4,,1,22,21,Outro,Results,2021-04-05 19:58:12.140828+00:00,1,,,0.00,46,19,46,not specified,4,widowed,3,1,20149,yes,2,18,1,0,lorem ipsum 1,lorem ipsum 2,hello world!,0,0,0.00,1,1,0kihcn1h,,,,,0
47,ebt4kr0w,,1,22,21,Outro,Results,2021-04-05 19:58:12.163169+00:00,1,,,0.00,47,20,45,not specified,4,widowed,4,1,20149,yes,1,20,3,3,lorem ipsum 1,lorem ipsum 2,hello world!,5,7,0.00,1,1,0kihcn1h,,,,,0
48,d19lg6ef,,1,22,21,Outro,Results,2021-04-05 19:58:12.186227+00:00,1,,,10.00,48,12,8,not specified,8,widowed,3,2,20149,yes,3,16,4,1,lorem ipsum 1,lorem ipsum 2,hello world!,9,8,0.00,1,1,0kihcn1h,,,,,0
49,bjiwef4j,,1,22,21,Outro,Results,2021-04-05 19:58:12.208964+00:00,1,,,0.00,49,15,25,not specified,0,widowed,2,2,20149,yes,1,20,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,9,3,0.00,1,1,0kihcn1h,,,,,0
50,ok7undju,,1,22,21,Outro,Results,2021-04-05 19:58:12.231606+00:00,1,,,10.00,50,23,36,not specified,4,widowed,2,0,20149,yes,3,5,0,1,lorem ipsum 1,lorem ipsum 2,hello world!,7,5,0.00,1,1,0kihcn1h,,,,,0
51,pjygcafc,,1,22,21,Outro,Results,2021-04-05 19:58:12.254097+00:00,1,,,0.00,51,5,35,not specified,4,widowed,4,2,20149,yes,0,0,0,2,lorem ipsum 1,lorem ipsum 2,hello world!,8,8,0.00,1,1,0kihcn1h,,,,,0
52,mh6y037k,,1,22,21,Outro,Results,2021-04-05 19:58:12.278674+00:00,1,,,0.00,52,27,8,not specified,8,widowed,3,0,20149,yes,1,0,0,3,lorem ipsum 1,lorem ipsum 2,hello world!,1,2,0.00,1,1,0kihcn1h,,,,,0
53,urcrkj2m,,1,22,21,Outro,Results,2021-04-05 19:58:12.301266+00:00,1,,,10.00,53,16,7,not specified,6,widowed,3,1,20149,yes,3,34,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,7,2,0.00,1,1,0kihcn1h,,,,,0
54,gb74pe8h,,1,22,21,Outro,Results,2021-04-05 19:58:12.323911+00:00,1,,,10.00,54,7,17,not specified,1,widowed,2,3,20149,yes,2,35,0,4,lorem ipsum 1,lorem ipsum 2,hello world!,7,6,0.00,1,1,0kihcn1h,,,,,0
55,9wurd4pb,,1,22,21,Outro,Results,2021-04-05 19:58:12.346705+00:00,1,,,0.00,55,4,12,not specified,5,widowed,4,1,20149,yes,2,9,1,4,lorem ipsum 1,lorem ipsum 2,hello world!,6,2,0.00,1,1,0kihcn1h,,,,,0
56,lz0klcba,,1,22,21,Outro,Results,2021-04-05 19:58:12.368950+00:00,1,,,10.00,56,27,42,not specified,5,widowed,1,1,20149,yes,1,9,2,2,lorem ipsum 1,lorem ipsum 2,hello world!,6,7,0.00,1,1,0kihcn1h,,,,,0
57,qjmqs16w,,1,22,21,Outro,Results,2021-04-05 19:58:12.392449+00:00,1,,,10.00,57,34,15,not specified,1,widowed,1,4,20149,yes,3,24,4,0,lorem ipsum 1,lorem ipsum 2,hello world!,7,3,0.00,1,1,0kihcn1h,,,,,0
58,9xv8xalq,,1,22,21,Outro,Results,2021-04-05 19:58:12.417498+00:00,1,,,10.00,58,30,30,not specified,7,widowed,3,4,20149,yes,1,24,1,0,lorem ipsum 1,lorem ipsum 2,hello world!,1,2,0.00,1,1,0kihcn1h,,,,,0
59,ctxfugk9,,1,22,21,Outro,Results,2021-04-05 19:58:12.442194+00:00,1,,,10.00,59,7,64,not specified,4,widowed,3,3,20149,yes,4,12,4,4,lorem ipsum 1,lorem ipsum 2,hello world!,10,5,0.00,1,1,0kihcn1h,,,,,0
60,tbeg4yre,,1,22,21,Outro,Results,2021-04-05 19:58:12.465565+00:00,1,,,10.00,60,0,41,not specified,6,widowed,0,2,20149,yes,1,24,0,0,lorem ipsum 1,lorem ipsum 2,hello world!,8,1,0.00,1,1,0kihcn1h,,,,,0
61,0a9vb7sw,,1,22,21,Outro,Results,2021-04-05 19:58:12.488712+00:00,1,,,10.00,61,30,64,not specified,1,widowed,1,0,20149,yes,3,15,0,0,lorem ipsum 1,lorem ipsum 2,hello world!,2,4,0.00,1,1,0kihcn1h,,,,,0
62,kyrw96ym,,1,22,21,Outro,Results,2021-04-05 19:58:12.554439+00:00,1,,,10.00,62,8,48,not specified,3,widowed,1,3,20149,yes,5,17,3,4,lorem ipsum 1,lorem ipsum 2,hello world!,6,3,0.00,1,1,0kihcn1h,,,,,0
63,213wj6m2,,1,22,21,Outro,Results,2021-04-05 19:58:12.577017+00:00,1,,,0.00,63,6,2,not specified,7,widowed,1,0,20149,yes,3,34,3,2,lorem ipsum 1,lorem ipsum 2,hello world!,5,0,0.00,1,1,0kihcn1h,,,,,0
64,pii3t75g,,1,22,21,Outro,Results,2021-04-05 19:58:12.599480+00:00,1,,,10.00,64,23,17,not specified,4,widowed,2,3,20149,yes,0,0,0,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,9,0.00,1,1,0kihcn1h,,,,,0
65,13jbscv4,,1,22,21,Outro,Results,2021-04-05 19:58:12.622545+00:00,1,,,0.00,65,4,6,not specified,8,widowed,3,2,20149,yes,1,26,2,0,lorem ipsum 1,lorem ipsum 2,hello world!,9,3,0.00,1,1,0kihcn1h,,,,,0
66,7k7witri,,1,22,21,Outro,Results,2021-04-05 19:58:12.647098+00:00,1,,,0.00,66,34,14,not specified,3,widowed,2,1,20149,yes,1,7,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,9,9,0.00,1,1,0kihcn1h,,,,,0
67,5m61r3pv,,1,22,21,Outro,Results,2021-04-05 19:58:12.669987+00:00,1,,,0.00,67,21,24,not specified,5,widowed,4,5,20149,yes,1,7,4,3,lorem ipsum 1,lorem ipsum 2,hello world!,10,10,0.00,1,1,0kihcn1h,,,,,0
68,mpnynwvb,,1,22,21,Outro,Results,2021-04-05 19:58:12.695059+00:00,1,,,0.00,68,12,16,not specified,7,widowed,3,1,20149,yes,5,23,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,9,8,0.00,1,1,0kihcn1h,,,,,0
69,upikhpgv,,1,22,21,Outro,Results,2021-04-05 19:58:12.717946+00:00,1,,,10.00,69,19,26,not specified,7,widowed,1,3,20149,yes,4,20,4,0,lorem ipsum 1,lorem ipsum 2,hello world!,6,0,0.00,1,1,0kihcn1h,,,,,0
70,7vmai1es,,1,22,21,Outro,Results,2021-04-05 19:58:12.741838+00:00,1,,,10.00,70,11,20,not specified,1,widowed,1,2,20149,yes,3,11,1,0,lorem ipsum 1,lorem ipsum 2,hello world!,8,7,0.00,1,1,0kihcn1h,,,,,0
71,dy99fuiy,,1,22,21,Outro,Results,2021-04-05 19:58:12.764897+00:00,1,,,10.00,71,19,41,not specified,6,widowed,4,4,20149,yes,0,31,4,4,lorem ipsum 1,lorem ipsum 2,hello world!,7,4,0.00,1,1,0kihcn1h,,,,,0
72,csx04k1n,,1,22,21,Outro,Results,2021-04-05 19:58:12.787336+00:00,1,,,0.00,72,24,1,not specified,3,widowed,4,1,20149,yes,4,15,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,3,9,0.00,1,1,0kihcn1h,,,,,0
73,4iqhdgbs,,1,22,21,Outro,Results,2021-04-05 19:58:12.810753+00:00,1,,,0.00,73,16,7,not specified,0,widowed,2,5,20149,yes,2,23,3,1,lorem ipsum 1,lorem ipsum 2,hello world!,3,1,0.00,1,1,0kihcn1h,,,,,0
74,j6g4vbuc,,1,22,21,Outro,Results,2021-04-05 19:58:12.832876+00:00,1,,,10.00,74,14,63,not specified,1,widowed,3,4,20149,yes,2,8,2,4,lorem ipsum 1,lorem ipsum 2,hello world!,7,6,0.00,1,1,0kihcn1h,,,,,0
75,j3whsbot,,1,22,21,Outro,Results,2021-04-05 19:58:12.856680+00:00,1,,,10.00,75,18,37,not specified,8,widowed,4,2,20149,yes,3,19,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,6,9,0.00,1,1,0kihcn1h,,,,,0
76,er75v1o6,,1,22,21,Outro,Results,2021-04-05 19:58:12.879071+00:00,1,,,0.00,76,23,45,not specified,5,widowed,0,5,20149,yes,1,23,2,3,lorem ipsum 1,lorem ipsum 2,hello world!,7,6,0.00,1,1,0kihcn1h,,,,,0
77,vshu83jt,,1,22,21,Outro,Results,2021-04-05 19:58:12.901665+00:00,1,,,10.00,77,25,33,not specified,6,widowed,0,3,20149,yes,1,12,1,4,lorem ipsum 1,lorem ipsum 2,hello world!,1,2,0.00,1,1,0kihcn1h,,,,,0
